Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Started,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,Read Count
19301797,The Truth About the Harry Quebert Affair,JoÃ«l Dicker,"Dicker, JoÃ«l",Sam Taylor,143126687,9.78E+12,0,4.12,Penguin Books,Paperback,643,2014,2012,,,4/23/2018,to-read,to-read (#329),to-read,0
23460961,The Race for Paris,Meg Waite Clayton,"Clayton, Meg Waite",,62354639,9.78E+12,0,3.62,Harper,Hardcover,336,2015,2015,,,4/23/2018,to-read,to-read (#328),to-read,0
22450859,The Boston Girl,Anita Diamant,"Diamant, Anita",,1439199353,9.78E+12,0,3.82,Scribner,Hardcover,320,2014,2014,,,4/23/2018,to-read,to-read (#327),to-read,0
33607640,The Address,Fiona  Davis,"Davis, Fiona",,152474199X,9.78E+12,0,3.92,Dutton Books,Hardcover,354,2017,2017,,,4/23/2018,to-read,to-read (#326),to-read,0
25870373,A Gentleman in Moscow,Amor Towles,"Towles, Amor",,91944244,9.78E+12,0,4.34,Hutchinson,Hardcover,462,2017,2016,,,4/23/2018,to-read,to-read (#325),to-read,0
18130,"A Wind in the Door (Time Quintet, #2)",Madeleine L'Engle,"L'Engle, Madeleine",,,9.78E+12,0,3.99,Dell Laurel-Leaf,Mass Market Paperback,203,1976,1973,,,4/23/2018,to-read,to-read (#324),to-read,0
33574273,"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle,"L'Engle, Madeleine",,1250153271,9.78E+12,5,3.99,Square Fish,Paperback,218,2017,1962,4/22/2018,4/23/2018,4/23/2018,,,read,1
23656887,"Art in the Blood (Sherlock Holmes Adventure, #1)",Bonnie MacBird,"MacBird, Bonnie",,8130833,9.78E+12,0,3.76,Collins Crime Club,Hardcover,300,2015,2015,,,3/3/2018,to-read,to-read (#322),to-read,0
853510,"Murder on the Orient Express (Hercule Poirot, #10)",Agatha Christie,"Christie, Agatha",,7119313,9.78E+12,4,4.19,HarperCollins,Paperback,274,2007,1934,1/28/2018,3/2/2018,2/11/2018,,,read,1
19549410,"Insanity (Insanity, #1)",Cameron Jace,"Jace, Cameron",,,,4,3.83,,Kindle Edition,247,2014,2013,12/16/2017,2/19/2018,12/16/2017,,,read,1
23598469,Roomies,Lindy Zart,"Zart, Lindy",,,,3,3.61,"Amazon Digital Services, Inc.",Kindle Edition,227,2014,2014,12/8/2014,12/10/2014,12/8/2014,,,read,1
25622271,The Birth of the Pill: How Four Crusaders Reinvented Sex and Launched a Revolution,Jonathan Eig,"Eig, Jonathan",,393351890,9.78E+12,0,3.99,W. W. Norton  Company,Paperback,416,2015,2014,,,1/18/2018,to-read,to-read (#321),to-read,0
22552026,Long Way Down,Jason  Reynolds,"Reynolds, Jason",,1481438255,9.78E+12,0,4.27,Atheneum/Caitlyn Dlouhy Books,Hardcover,306,2017,2017,,,1/18/2018,to-read,to-read (#320),to-read,0
18693763,Everything I Never Told You,Celeste Ng,"Ng, Celeste",,159420571X,9.78E+12,0,3.86,Penguin Press,Hardcover,297,2014,2014,,,1/18/2018,to-read,to-read (#319),to-read,0
410428,The Thirteenth Tale,Diane Setterfield,"Setterfield, Diane",,743298039,9.78E+12,0,3.97,Washington Square Press,Paperback,448,2007,2006,,,1/14/2018,to-read,to-read (#318),to-read,0
21893797,"Neverland (Adventures in Neverland, #1)",Anna Katmore,"Katmore, Anna",,,,4,3.96,,Kindle Edition,299,2014,2014,5/20/2014,6/3/2014,6/4/2014,,,read,1
