book_id,title,author,additional_authors,isbn,isbn13,my_rating,average_rating,publisher,format,number_of_pages,original_publication_year,date_started,date_read,date_added,bookshelves,exclusive_shelf,read_count,type
176837,Imagined London: A Tour of the World's Greatest Fictional City,Anna Quindlen,NA,792242076,9780000000000,0,3.31,National Geographic,Paperback,176,2004,NA,NA,2016-12-30,to-read,to-read,0,JMH
47530,Mapping the World of Harry Potter: Science Fiction and Fantasy Writers Explore the Bestselling Series of All Time,Mercedes Lackey,"Leah Wilson, Adam-Troy Castro, Roxanne Longstreet Conrad, Elisabeth DeVos, Richard Garfinkle, Roberta Gellis, Marguerite Krause, Susan R. Matthews, Joyce Millman, Daniel P. Moloney, Lawrence Watt-Evans, Martha Wells, Sarah Zettel, James E. Gunn",1932100598,9780000000000,0,4.31,Smart Pop,Paperback,195,2005,NA,NA,2016-12-01,to-read,to-read,0,JMH
17349163,"Sense & Sensibility (The Austen Project, #1)",Joanna Trollope,NA,62200461,9780000000000,0,3.5,Harper,Hardcover,362,2013,NA,NA,2016-12-01,to-read,to-read,0,JMH
15845605,"The Gatekeeper's Sons (Gatekeeper's Saga, #1)",Eva Pohler,NA,NA,NA,3,3.65,Green Press/Eva Pohler,Paperback,384,2012,2016-11-29,2016-11-30,2016-12-01,NA,read,1,JMH
12244583,"Crushed (The Witch-Game, #1)",K.C. Blake,NA,1463718764,9780000000000,3,3.66,Createspace,Paperback,262,2011,NA,2016-11-29,2016-11-28,NA,read,1,JMH
13634927,"A Leaf on the Wind of All Hallows (Outlander, #8.5)",Diana Gabaldon,NA,NA,NA,0,4.27,Dell,ebook,57,2012,NA,NA,2016-11-28,to-read,to-read,0,JMH
21418017,"The Space Between (Outlander, #7.5)",Diana Gabaldon,NA,NA,NA,0,4.25,Dell,ebook,118,2012,NA,NA,2016-11-28,to-read,to-read,0,JMH
18584855,Heartless,Marissa Meyer,NA,1250044650,9780000000000,0,4.07,Feiwel & Friends,Hardcover,453,2016,NA,NA,2016-11-15,to-read,to-read,0,JMH
26200563,Hamilton: The Revolution,Lin-Manuel Miranda,Jeremy McCarter,1455539740,9780000000000,5,4.45,Grand Central Publishing,Hardcover,285,2015,2016-11-05,2016-11-13,2016-11-14,NA,read,1,JMH
25855506,"Adulthood Is a Myth (Sarah's Scribbles, #1)",Sarah Andersen,NA,1449474195,9780000000000,0,4.12,Andrews McMeel Publishing,Paperback,112,2016,NA,NA,2016-11-08,to-read,to-read,0,JMH
25817804,First Women: The Grace and Power of America's Modern First Ladies,Kate Andersen Brower,NA,62439650,9780000000000,0,3.7,Harper,Hardcover,380,2016,NA,NA,2016-11-08,to-read,to-read,0,JMH
29608503,"How to Hang a Witch (How to Hang a Witch, #1)",Adriana Mather,NA,NA,NA,4,4.05,Knopf Books for Young Readers,ebook,359,2016,2016-10-31,2016-11-01,2016-11-01,NA,read,1,JMH
