gid,award_rank,award_votes,award_category,award_year,pages,date_published
10131648,7,943,History & Biography,2011,558,2011-05-24
9729504,8,843,History & Biography,2011,384,2011-04-26
7940589,9,767,History & Biography,2011,608,2011-04-05
9775295,10,626,History & Biography,2011,270,2011-06-14
10335318,11,268,History & Biography,2011,368,2011-09-20
9315641,12,261,History & Biography,2011,448,2011-05-03
9578336,13,246,History & Biography,2011,481,2011-04-05
8264505,14,219,History & Biography,2011,402,2011-02-01
8857310,15,204,History & Biography,2011,238,2011-03-22
10263986,16,158,History & Biography,2011,323,NA
10587120,17,157,History & Biography,2011,324,2011-09-27
9862761,18,80,History & Biography,2011,557,2011-08-09
10400627,19,79,History & Biography,2011,384,2011-05-03
11369904,20,73,History & Biography,2011,307,2011-10-11
9484793,1,4255,Memoir & Autobiography,2011,272,2011-04-14
11330361,2,2984,Memoir & Autobiography,2011,273,2011-07-12
10211494,3,2016,Memoir & Autobiography,2011,320,2011-04-26
9580315,4,1689,Memoir & Autobiography,2011,287,2011-05-03
9862827,5,1547,Memoir & Autobiography,2011,279,2011-05-03
8483233,6,1350,Memoir & Autobiography,2011,341,2011-02-01
8584951,7,1342,Memoir & Autobiography,2011,277,2011-04-05
9739365,8,1284,Memoir & Autobiography,2011,331,NA
8619825,9,1255,Memoir & Autobiography,2011,336,2011-04-14
9202591,10,1235,Memoir & Autobiography,2011,224,2011-04-12
8248617,11,399,Memoir & Autobiography,2011,387,2011-02-28
11500827,12,361,Memoir & Autobiography,2011,384,2011-06-07
8979038,13,323,Memoir & Autobiography,2011,NA,NA
9756135,14,271,Memoir & Autobiography,2011,215,2011-05-24
9476292,15,268,Memoir & Autobiography,2011,241,2011-06-07
7840833,16,223,Memoir & Autobiography,2011,320,2011-01-11
10836585,17,202,Memoir & Autobiography,2011,436,2011-09-13
9160695,18,164,Memoir & Autobiography,2011,237,2011-01-11
9214995,19,152,Memoir & Autobiography,2011,310,2011-04-12
9428981,20,118,Memoir & Autobiography,2011,429,2011-09-13
9443977,1,2287,Food & Cooking,2011,272,2011-04-13
10987533,2,2201,Food & Cooking,2011,432,2011-10-01
8459594,3,1748,Food & Cooking,2011,291,2011-03-01
9833965,4,1488,Food & Cooking,2011,229,2011-07-12
9745929,5,1430,Food & Cooking,2011,272,2011-02-23
8727466,6,842,Food & Cooking,2011,272,2010-12-28
9848914,7,811,Food & Cooking,2011,283,2011-07-12
8704047,8,782,Food & Cooking,2011,296,NA
10178769,9,765,Food & Cooking,2011,217,2011-06-15
10222093,10,689,Food & Cooking,2011,240,2011-06-07
8667490,11,368,Food & Cooking,2011,400,2011-03-03
11828823,12,366,Food & Cooking,2011,480,2011-10-11
9265477,13,346,Food & Cooking,2011,384,2010-12-28
9326166,14,344,Food & Cooking,2011,256,2011-04-05
9808248,15,307,Food & Cooking,2011,304,2011-02-01
11505008,16,268,Food & Cooking,2011,292,2011-08-30
7665543,17,172,Food & Cooking,2011,400,2011-02-01
11680487,18,124,Food & Cooking,2011,NA,NA
9382782,19,101,Food & Cooking,2011,224,2011-10-25
11550559,20,70,Food & Cooking,2011,285,2011-09-29
8564644,1,1874,Travel & Outdoors,2011,294,2011-01-27
10111087,2,1023,Travel & Outdoors,2011,333,NA
9514649,3,903,Travel & Outdoors,2011,295,2011-03-29
10401121,4,840,Travel & Outdoors,2011,240,2011-03-01
10502301,5,828,Travel & Outdoors,2011,276,2011-09-20
9105432,6,740,Travel & Outdoors,2011,288,2011-02-08
10179129,7,652,Travel & Outdoors,2011,256,2011-03-08
9524132,8,645,Travel & Outdoors,2011,352,2011-04-26
9869499,9,621,Travel & Outdoors,2011,288,2011-07-26
9341909,10,425,Travel & Outdoors,2011,246,2011-04-05
9190555,11,224,Travel & Outdoors,2011,304,2011-05-19
9808172,12,167,Travel & Outdoors,2011,304,2011-05-24
10283324,13,155,Travel & Outdoors,2011,256,2011-07-05
9463102,14,142,Travel & Outdoors,2011,264,2011-04-01
9571766,15,123,Travel & Outdoors,2011,240,2011-03-01
9371993,16,107,Travel & Outdoors,2011,416,2011-01-04
8774573,17,97,Travel & Outdoors,2011,272,2011-03-01
9902621,18,68,Travel & Outdoors,2011,304,2011-05-10
9304907,19,36,Travel & Outdoors,2011,496,2011-03-01
11094626,20,19,Travel & Outdoors,2011,323,2011-10-25
8492825,1,4221,Young Adult Fiction,2011,297,2011-04-05
9961796,2,3352,Young Adult Fiction,2011,384,2011-09-29
8492856,3,3181,Young Adult Fiction,2011,416,2011-05-10
9464733,4,2941,Young Adult Fiction,2011,396,2011-05-24
8662836,5,2657,Young Adult Fiction,2011,319,2011-08-16
7824322,6,2337,Young Adult Fiction,2011,344,2011-03-22
9462775,7,2325,Young Adult Fiction,2011,282,2011-04-26
8928054,8,2295,Young Adult Fiction,2011,350,2011-05-01
10327303,9,2254,Young Adult Fiction,2011,298,2011-06-21
9893331,10,1700,Young Adult Fiction,2011,305,2011-07-05
9917945,11,890,Young Adult Fiction,2011,622,2011-09-13
8680278,12,753,Young Adult Fiction,2011,291,2011-04-26
11505797,13,486,Young Adult Fiction,2011,319,2011-05-26
9470371,14,410,Young Adult Fiction,2011,243,2011-07-19
10801027,15,262,Young Adult Fiction,2011,225,2011-03-15
8013391,16,258,Young Adult Fiction,2011,225,2010-12-28
9415966,17,231,Young Adult Fiction,2011,368,2011-06-01
8354134,18,176,Young Adult Fiction,2011,332,2011-01-11
11561469,19,130,Young Adult Fiction,2011,377,2011-05-10
11096647,20,125,Young Adult Fiction,2011,389,2011-04-11
8306857,1,8273,Young Adult Fantasy,2011,487,2011-04-25
6752378,2,5655,Young Adult Fantasy,2011,425,2011-04-05
9460487,3,4666,Young Adult Fantasy,2011,352,NA
8709527,4,4509,Young Adult Fantasy,2011,421,2011-08-23
9659607,5,2718,Young Adult Fantasy,2011,400,2011-10-26
10637766,6,2690,Young Adult Fantasy,2011,448,2011-10-04
7686667,7,2662,Young Adult Fantasy,2011,441,2011-02-03
9409458,8,2620,Young Adult Fantasy,2011,390,2011-07-12
8235178,9,2252,Young Adult Fantasy,2011,399,2011-01-11
8652190,10,2218,Young Adult Fantasy,2011,290,2011-01-04
8525590,11,1114,Young Adult Fantasy,2011,358,2011-03-22
9369720,12,973,Young Adult Fantasy,2011,420,2011-06-14
7488244,13,965,Young Adult Fantasy,2011,435,2011-01-04
8428064,14,934,Young Adult Fantasy,2011,359,2011-03-22
6368611,15,715,Young Adult Fantasy,2011,327,2011-02-22
8490112,16,708,Young Adult Fantasy,2011,418,2011-09-27
9802372,17,603,Young Adult Fantasy,2011,372,2011-09-29
2964700,18,480,Young Adult Fantasy,2011,596,2011-10-25
9918083,19,455,Young Adult Fantasy,2011,543,2011-09-20
7879278,20,216,Young Adult Fantasy,2011,369,2011-02-01
9520360,1,4186,Middle Grade & Children's,2011,521,2011-10-04
9067850,2,3827,Middle Grade & Children's,2011,452,2011-05-03
10659536,3,3498,Middle Grade & Children's,2011,208,2011-09-20
11254250,4,3167,Middle Grade & Children's,2011,224,2011-11-15
10128428,5,1990,Middle Grade & Children's,2011,640,2011-09-13
9591398,6,1947,Middle Grade & Children's,2011,256,2011-05-10
8621462,7,1783,Middle Grade & Children's,2011,226,2011-09-27
10425811,8,1290,Middle Grade & Children's,2011,313,2011-10-04
8485458,9,1055,Middle Grade & Children's,2011,352,2011-04-05
8435445,10,1033,Middle Grade & Children's,2011,416,2011-03-31
9165406,11,641,Middle Grade & Children's,2011,360,2011-04-05
7355137,12,495,Middle Grade & Children's,2011,641,2011-06-07
8306745,13,443,Middle Grade & Children's,2011,457,2011-03-15
9252036,14,396,Middle Grade & Children's,2011,295,2011-05-10
8619814,15,389,Middle Grade & Children's,2011,417,2011-04-05
9465845,16,277,Middle Grade & Children's,2011,238,2011-04-05
11082352,17,183,Middle Grade & Children's,2011,276,2011-11-01
10637959,18,177,Middle Grade & Children's,2011,320,2011-09-27
